sild,105,07:28:45.790997
lazy,331,07:28:45.844993
poke,411,07:28:45.861993
unix,421,07:28:45.863991
cark,461,07:28:45.876993
punta,551,07:28:45.911992
unta,552,07:28:45.912993
koph,592,07:28:45.924995
trop,602,07:28:45.927993
aqua,653,07:28:45.940996
gair,662,07:28:45.943993
vino,810,07:28:45.975991
nome,812,07:28:45.975991
upgo,865,07:28:45.987993
riga,979,07:28:46.014993
riss,1056,07:28:46.034994
thou,1091,07:28:46.043993
teds,1096,07:28:46.044992
hing,1121,07:28:46.050991
bays,1140,07:28:46.054991
erth,1160,07:28:46.059993
ugly,1166,07:28:46.060992
axal,1221,07:28:46.078998
beef,1259,07:28:46.091992
mank,1369,07:28:46.119994
meek,1375,07:28:46.121995
knaps,1394,07:28:46.126994
naps,1395,07:28:46.127995
poss,1400,07:28:46.129993
pooa,1425,07:28:46.136996
boke,1449,07:28:46.144994
frey,1533,07:28:46.164991
chiv,1642,07:28:46.189990
dowl,1731,07:28:46.208991
merl,1763,07:28:46.215991
ficus,1844,07:28:46.236995
cusp,1846,07:28:46.238000
moir,1855,07:28:46.240992
rine,1858,07:28:46.241992
flit,1918,07:28:46.256993
coyn,2001,07:28:46.282995
tade,2049,07:28:46.295992
wrnt,2084,07:28:46.304994
gunl,2507,07:28:46.401994
crup,2515,07:28:46.403993
rull,2713,07:28:46.444991
otis,2736,07:28:46.449995
skit,2990,07:28:46.507993
stap,3010,07:28:46.513993
ogpu,3293,07:28:46.582991
nips,3318,07:28:46.588995
shits,3373,07:28:46.600993
hits,3374,07:28:46.600993
vulg,3533,07:28:46.637992
saim,3642,07:28:46.662993
feels,3655,07:28:46.666993
eels,3656,07:28:46.666993
boyd,3718,07:28:46.687994
baud,3817,07:28:46.714992
frab,3942,07:28:46.746994
yoga,3987,07:28:46.760992
ogam,3988,07:28:46.760992
jibi,4021,07:28:46.768993
ecch,4216,07:28:46.812991
koph,4260,07:28:46.822991
unstop,4338,07:28:46.838992
stop,4340,07:28:46.839992
tank,4356,07:28:46.843992
anay,4388,07:28:46.850992
tien,4476,07:28:46.869993
rhea,4504,07:28:46.877994
bake,4555,07:28:46.913993
behn,4622,07:28:46.936995
twae,4845,07:28:46.991992
kurt,4976,07:28:47.018995
duds,5017,07:28:47.027991
tave,5084,07:28:47.041994
leud,5145,07:28:47.055995
taxis,5150,07:28:47.056993
axis,5151,07:28:47.057993
buat,5155,07:28:47.058993
miri,5277,07:28:47.088993
bogo,5332,07:28:47.108991
nose,5336,07:28:47.109991
unai,5377,07:28:47.118995
bosc,5490,07:28:47.144991
snub,5542,07:28:47.155992
turi,5559,07:28:47.159991
urim,5560,07:28:47.160992
wrig,5663,07:28:47.181991
dope,5697,07:28:47.188992
fend,5755,07:28:47.204993
chal,5777,07:28:47.211994
half,5778,07:28:47.211994
fate,5941,07:28:47.249992
gres,6129,07:28:47.302992
incr,6135,07:28:47.304991
norm,6238,07:28:47.329991
